Web of Science Categories	Record Count	% of 23,392
Humanities Multidisciplinary	7	0.030
Materials Science Biomaterials	7	0.030
Mathematics	7	0.030
Physics Mathematical	7	0.030
Cell Tissue Engineering	6	0.026
Electrochemistry	6	0.026
Engineering Manufacturing	6	0.026
Mechanics	6	0.026
Public Administration	6	0.026
Chemistry Inorganic Nuclear	5	0.021
Metallurgy Metallurgical Engineering	5	0.021
Physics Condensed Matter	5	0.021
Physics Fluids Plasmas	5	0.021
Social Issues	5	0.021
Engineering Marine	4	0.017
Engineering Ocean	4	0.017
History Philosophy Of Science	4	0.017
Industrial Relations Labor	4	0.017
Materials Science Characterization Testing	4	0.017
Physics Particles Fields	4	0.017
Crystallography	3	0.013
Ethics	3	0.013
Ethnic Studies	3	0.013
History	3	0.013
Mining Mineral Processing	3	0.013
Robotics	3	0.013
Art	2	0.009
Engineering Aerospace	2	0.009
Literature Romance	2	0.009
Materials Science Textiles	2	0.009
Psychology Psychoanalysis	2	0.009
Andrology	1	0.004
Architecture	1	0.004
Cultural Studies	1	0.004
History Of Social Sciences	1	0.004
Literature	1	0.004
Logic	1	0.004
Materials Science Ceramics	1	0.004
Materials Science Coatings Films	1	0.004
Medical Ethics	1	0.004
Medieval Renaissance Studies	1	0.004
Microscopy	1	0.004
Physics Nuclear	1	0.004
Quantum Science Technology	1	0.004
Women S Studies	1	0.004
