Web of Science Categories	Record Count	% of 3,864
Sport Sciences	14	0.362
Cardiac Cardiovascular Systems	13	0.336
Education Educational Research	13	0.336
Hematology	13	0.336
Chemistry Applied	12	0.311
Computer Science Theory Methods	12	0.311
Dermatology	11	0.285
Developmental Biology	11	0.285
Energy Fuels	11	0.285
Management	11	0.285
Obstetrics Gynecology	11	0.285
Biophysics	10	0.259
Computer Science Software Engineering	10	0.259
Engineering Biomedical	10	0.259
Engineering Chemical	10	0.259
Instruments Instrumentation	10	0.259
Peripheral Vascular Disease	10	0.259
Psychology Educational	10	0.259
Business Finance	9	0.233
Chemistry Multidisciplinary	9	0.233
Psychology Developmental	9	0.233
Regional Urban Planning	9	0.233
Reproductive Biology	9	0.233
Rheumatology	9	0.233
Urban Studies	9	0.233
Anesthesiology	8	0.207
Health Policy Services	8	0.207
Political Science	8	0.207
Rehabilitation	8	0.207
Sociology	8	0.207
Agricultural Engineering	7	0.181
Critical Care Medicine	7	0.181
Neuroimaging	7	0.181
Otorhinolaryngology	7	0.181
Paleontology	7	0.181
Respiratory System	7	0.181
Substance Abuse	7	0.181
Urology Nephrology	7	0.181
Acoustics	6	0.155
Audiology Speech Language Pathology	6	0.155
Chemistry Physical	6	0.155
Information Science Library Science	6	0.155
Materials Science Multidisciplinary	6	0.155
Orthopedics	6	0.155
Pathology	6	0.155
Psychology Social	6	0.155
Social Sciences Biomedical	6	0.155
Engineering Industrial	5	0.129
Geology	5	0.129
Mathematics Applied	5	0.129
Medicine Legal	5	0.129
Spectroscopy	5	0.129
Transportation	5	0.129
Anatomy Morphology	4	0.104
Astronomy Astrophysics	4	0.104
Chemistry Medicinal	4	0.104
Dentistry Oral Surgery Medicine	4	0.104
Emergency Medicine	4	0.104
Geochemistry Geophysics	4	0.104
Green Sustainable Science Technology	4	0.104
Psychology Applied	4	0.104
Agricultural Economics Policy	3	0.078
Archaeology	3	0.078
Automation Control Systems	3	0.078
Business	3	0.078
Criminology Penology	3	0.078
Engineering Multidisciplinary	3	0.078
Engineering Ocean	3	0.078
Ergonomics	3	0.078
Geriatrics Gerontology	3	0.078
Hospitality Leisure Sport Tourism	3	0.078
Mathematics	3	0.078
Medical Laboratory Technology	3	0.078
Nursing	3	0.078
Physics Atomic Molecular Chemical	3	0.078
Primary Health Care	3	0.078
Social Sciences Interdisciplinary	3	0.078
Allergy	2	0.052
Chemistry Inorganic Nuclear	2	0.052
Computer Science Cybernetics	2	0.052
Computer Science Hardware Architecture	2	0.052
Construction Building Technology	2	0.052
Demography	2	0.052
Education Scientific Disciplines	2	0.052
Electrochemistry	2	0.052
Engineering Mechanical	2	0.052
Law	2	0.052
Metallurgy Metallurgical Engineering	2	0.052
Microscopy	2	0.052
Nanoscience Nanotechnology	2	0.052
Nuclear Science Technology	2	0.052
Physics Applied	2	0.052
Physics Fluids Plasmas	2	0.052
Physics Mathematical	2	0.052
Physics Nuclear	2	0.052
Physics Particles Fields	2	0.052
Thermodynamics	2	0.052
Transplantation	2	0.052
Transportation Science Technology	2	0.052
Communication	1	0.026
Crystallography	1	0.026
Education Special	1	0.026
Engineering Aerospace	1	0.026
Engineering Marine	1	0.026
Ethics	1	0.026
Gerontology	1	0.026
History Philosophy Of Science	1	0.026
International Relations	1	0.026
Literature British Isles	1	0.026
Literature German Dutch Scandinavian	1	0.026
Materials Science Ceramics	1	0.026
Materials Science Paper Wood	1	0.026
Materials Science Textiles	1	0.026
Mechanics	1	0.026
Medical Ethics	1	0.026
Medieval Renaissance Studies	1	0.026
Physics Multidisciplinary	1	0.026
Public Administration	1	0.026
Social Issues	1	0.026
Social Work	1	0.026
Telecommunications	1	0.026
